"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 07- 19","60,900","61,400","61,400","60,200","0.02K","-1.62%"
"2022- 07- 18","61,900","60,600","62,000","60,500","3.55K","3.17%"
"2022- 07- 17","60,000","60,000","60,000","60,000","","0.00%"
"2022- 07- 15","60,000","58,400","60,000","58,100","18.53M","4.35%"
"2022- 07- 14","57,500","57,600","58,200","57,400","0.15K","-0.86%"
"2022- 07- 13","58,000","58,200","58,600","58,000","1.69K","-0.17%"
"2022- 07- 12","58,100","58,600","58,700","58,100","1.89K","-1.19%"
"2022- 07- 11","58,800","59,200","59,500","58,700","0.37K","0.17%"
"2022- 07- 10","58,700","58,700","58,700","58,700","","0.00%"
"2022- 07- 08","58,700","58,600","59,300","58,200","15.18M","0.86%"
"2022- 07- 07","58,200","56,400","58,700","56,400","0.20K","3.19%"
"2022- 07- 06","56,400","57,300","57,300","56,400","1.59K","-1.40%"
"2022- 07- 05","57,200","57,700","58,200","57,200","5.97K","0.18%"
"2022- 07- 04","57,100","56,200","57,400","55,700","0.93K","1.60%"
"2022- 07- 03","56,200","56,200","56,200","56,200","","0.00%"
"2022- 07- 01","56,200","56,900","57,500","55,900","24.61M","-1.40%"
"2022- 06- 30","57,000","57,300","57,600","57,000","14.65K","-1.72%"
"2022- 06- 29","58,000","58,600","58,800","58,000","5.79K","-2.36%"
"2022- 06- 28","59,400","59,100","59,500","58,700","1.30K","1.02%"
"2022- 06- 27","58,800","59,000","59,900","58,300","17.90M","0.68%"
"2022- 06- 26","58,400","58,400","58,400","58,400","","0.00%"
"2022- 06- 24","58,400","57,900","59,100","57,700","23.13M","1.74%"
"2022- 06- 23","57,400","57,700","58,000","56,800","3.18K","-0.35%"
"2022- 06- 22","57,600","59,000","59,000","57,600","20.02K","-1.54%"
"2022- 06- 21","58,500","58,800","59,100","58,200","0.60K","-0.34%"
"2022- 06- 20","58,700","59,900","59,900","58,100","8.25K","-1.84%"
"2022- 06- 19","59,800","59,800","59,800","59,800","","0.00%"
"2022- 06- 17","59,800","59,400","59,900","59,400","28.79M","-1.81%"
"2022- 06- 16","60,900","61,400","61,800","60,500","1.22K","0.33%"
"2022- 06- 15","60,700","61,400","61,500","60,200","1.25K","-1.94%"
"2022- 06- 14","61,900","61,200","62,200","61,100","6.14K","-0.32%"
"2022- 06- 13","62,100","62,500","62,800","62,100","1.32K","-2.66%"
"2022- 06- 12","63,800","63,800","63,800","63,800","","0.00%"
"2022- 06- 10","63,800","64,000","64,400","63,800","22.02M","-2.15%"
"2022- 06- 09","65,200","65,100","65,200","64,500","25.52M","-0.15%"
"2022- 06- 08","65,300","65,500","65,700","65,300","3.09K","-0.31%"
"2022- 06- 07","65,500","66,300","66,400","65,400","0.09K","-1.95%"
"2022- 06- 06","66,800","66,800","66,800","66,800","","0.00%"
"2022- 06- 03","66,800","67,200","67,300","66,800","8.18M","0.15%"
"2022- 06- 02","66,700","66,600","67,000","66,500","0.06K","-1.04%"
"2022- 06- 01","67,400","67,400","67,400","67,400","","0.00%"
"2022- 05- 31","67,400","67,500","67,500","66,700","23.43M","-0.44%"
"2022- 05- 30","67,700","67,500","67,800","66,900","14.04M","1.80%"
"2022- 05- 29","66,500","66,500","66,500","66,500","","0.00%"
"2022- 05- 27","66,500","66,700","66,900","66,200","11.35M","0.91%"
"2022- 05- 26","65,900","66,300","67,200","65,500","0.11K","-0.75%"
"2022- 05- 25","66,400","66,700","67,000","65,900","1.00K","-0.15%"
"2022- 05- 24","66,500","67,600","67,700","66,500","4.18K","-2.06%"
"2022- 05- 23","67,900","68,700","68,800","67,600","4.12K","-0.15%"
"2022- 05- 22","68,000","68,000","68,000","68,000","","0.00%"
"2022- 05- 20","68,000","67,800","68,400","67,700","12.02M","0.74%"
"2022- 05- 19","67,500","66,600","67,600","66,600","4.71K","-0.88%"
"2022- 05- 18","68,100","68,200","68,700","67,600","1.69K","0.74%"
"2022- 05- 17","67,600","66,700","67,900","66,600","0.71K","1.96%"
"2022- 05- 16","66,300","67,100","67,300","66,100","3.52K","-0.30%"
"2022- 05- 15","66,500","66,500","66,500","66,500","","0.00%"
"2022- 05- 13","66,500","65,300","66,700","65,200","14.49M","2.47%"
"2022- 05- 12","64,900","65,200","65,500","64,900","2.01K","-1.22%"
"2022- 05- 11","65,700","65,600","66,300","65,300","1.17K","0.00%"
"2022- 05- 10","65,700","65,900","66,300","65,300","17.17M","-0.61%"
"2022- 05- 09","66,100","66,300","66,900","66,100","11.77M","-0.60%"
"2022- 05- 06","66,500","67,000","67,100","66,500","14.25M","-2.06%"
"2022- 05- 05","67,900","67,900","67,900","67,900","","0.00%"
"2022- 05- 04","67,900","68,000","68,400","67,500","11.44M","0.59%"
"2022- 05- 03","67,500","67,400","68,400","67,300","0.16K","0.30%"
"2022- 05- 02","67,300","66,600","67,600","66,500","0.67K","-0.15%"
"2022- 05- 01","67,400","67,400","67,400","67,400","","0.00%"
"2022- 04- 29","67,400","65,100","67,600","65,000","26.09M","4.01%"
"2022- 04- 28","64,800","65,500","65,500","64,500","0.69K","-0.31%"
"2022- 04- 27","65,000","65,400","65,500","64,900","0.66K","-1.66%"
"2022- 04- 26","66,100","66,500","66,700","66,100","2.99K","-0.30%"
"2022- 04- 25","66,300","66,600","66,700","66,300","0.05K","-1.04%"
"2022- 04- 24","67,000","67,000","67,000","67,000","","0.00%"
"2022- 04- 22","67,000","67,200","67,300","66,700","11.74M","-1.03%"
"2022- 04- 21","67,700","67,600","68,300","67,500","0.98K","0.45%"
"2022- 04- 20","67,400","67,000","67,400","66,500","4.98K","0.15%"
"2022- 04- 19","67,300","67,100","68,000","67,000","0.60K","0.90%"
"2022- 04- 18","66,700","66,500","67,100","66,100","10.06M","0.15%"
"2022- 04- 17","66,600","66,600","66,600","66,600","","0.00%"
"2022- 04- 15","66,600","67,200","67,300","66,500","12.99M","-1.33%"
"2022- 04- 14","67,500","68,700","68,700","67,500","2.32K","-1.75%"
"2022- 04- 13","68,700","67,200","69,000","67,200","0.57K","2.54%"
"2022- 04- 12","67,000","67,600","67,700","67,000","2.41K","-1.33%"
"2022- 04- 11","67,900","67,800","68,100","67,400","0.69K","0.15%"
"2022- 04- 10","67,800","67,800","67,800","67,800","","0.00%"
"2022- 04- 08","67,800","68,100","68,300","67,700","15.36M","-0.29%"
"2022- 04- 07","68,000","68,500","68,500","68,000","2.12K","-0.73%"
"2022- 04- 06","68,500","68,600","68,800","68,500","15.30M","-1.01%"
"2022- 04- 05","69,200","69,400","69,600","69,100","1.96K","-0.14%"
"2022- 04- 04","69,300","68,900","69,300","68,600","10.80M","0.29%"
"2022- 04- 03","69,100","69,100","69,100","69,100","","0.00%"
"2022- 04- 01","69,100","69,500","69,500","69,000","15.85M","-0.72%"
"2022- 03- 31","69,600","69,900","70,100","69,600","5.43K","-0.43%"
"2022- 03- 30","69,900","70,300","70,500","69,800","12.35M","-0.43%"
"2022- 03- 29","70,200","69,900","70,300","69,800","5.95K","0.72%"
"2022- 03- 28","69,700","69,600","69,900","69,200","0.89K","-0.14%"
"2022- 03- 27","69,800","69,800","69,800","69,800","","0.00%"
"2022- 03- 25","69,800","70,100","70,200","69,600","12.91M","0.00%"
"2022- 03- 24","69,800","69,600","70,300","69,600","17.92M","-0.99%"
"2022- 03- 23","70,500","70,600","71,200","70,300","1.03K","0.28%"
"2022- 03- 22","70,300","70,000","70,500","70,000","0.79K","0.57%"
"2022- 03- 21","69,900","70,900","71,000","69,900","11.09M","-1.13%"
"2022- 03- 20","70,700","70,700","70,700","70,700","","0.00%"
"2022- 03- 18","70,700","70,600","70,900","70,200","14.24M","-0.70%"
"2022- 03- 17","71,200","71,300","71,800","70,900","1.43K","1.14%"
"2022- 03- 16","70,400","70,200","70,500","69,700","0.13K","1.29%"
"2022- 03- 15","69,500","69,800","70,100","69,500","0.20K","-1.00%"
"2022- 03- 14","70,200","70,000","70,200","69,600","0.78K","0.29%"
"2022- 03- 13","70,000","70,000","70,000","70,000","","0.00%"
"2022- 03- 11","70,000","70,500","70,700","69,700","15.67M","-1.69%"
"2022- 03- 10","71,200","70,900","71,200","70,500","2.01K","2.45%"
"2022- 03- 09","69,500","69,500","69,500","69,500","","0.00%"
"2022- 03- 08","69,500","68,800","70,000","68,700","15.72M","-0.86%"
"2022- 03- 07","70,100","70,000","70,600","69,900","1.39K","-1.96%"
"2022- 03- 06","71,500","71,500","71,500","71,500","","0.00%"
"2022- 03- 04","71,500","72,700","72,700","71,200","13.36M","-1.92%"
"2022- 03- 03","72,900","72,400","73,100","72,400","0.51K","1.67%"
"2022- 03- 02","71,700","72,400","72,400","71,500","0.51K","-0.55%"
"2022- 03- 01","72,100","72,100","72,100","72,100","","0.00%"
"2022- 02- 28","72,100","71,100","72,100","71,000","17.64M","0.28%"
"2022- 02- 27","71,900","71,900","71,900","71,900","","0.00%"
"2022- 02- 25","71,900","72,100","72,600","71,900","13.06M","0.56%"
"2022- 02- 24","71,500","72,300","72,300","71,300","10.45K","-2.05%"
"2022- 02- 23","73,000","73,800","73,800","72,800","2.11K","-0.54%"
"2022- 02- 22","73,400","73,000","73,400","72,800","20.21K","-1.08%"
"2022- 02- 21","74,200","73,300","74,300","72,600","0.10K","-0.13%"
"2022- 02- 20","74,300","74,300","74,300","74,300","","0.00%"
"2022- 02- 18","74,300","74,600","74,800","73,700","10.04M","-0.93%"
"2022- 02- 17","75,000","74,900","75,600","74,500","0.38K","0.27%"
"2022- 02- 16","74,800","74,600","74,800","74,200","4.64K","1.49%"
"2022- 02- 15","73,700","74,100","74,200","73,100","0.04K","0.00%"
"2022- 02- 14","73,700","74,400","74,400","73,100","4.16K","-1.60%"
"2022- 02- 13","74,900","74,900","74,900","74,900","","0.00%"
"2022- 02- 11","74,900","75,000","75,500","74,600","12.00M","-0.66%"
"2022- 02- 10","75,400","75,500","75,800","74,700","4.77K","0.94%"
"2022- 02- 09","74,700","74,300","74,700","74,000","9.60M","1.63%"
"2022- 02- 08","73,500","73,800","74,200","73,000","11.71M","0.68%"
"2022- 02- 07","73,000","73,500","73,500","72,400","0.79K","-1.35%"
"2022- 02- 06","74,000","74,000","74,000","74,000","","0.00%"
"2022- 02- 04","74,000","74,300","74,600","73,400","12.38M","0.95%"
"2022- 02- 03","73,300","74,100","74,100","73,300","25.35K","0.00%"
"2022- 01- 28","73,300","71,300","73,700","71,200","21.05M","2.81%"
"2022- 01- 27","71,300","73,800","74,000","71,300","11.89K","-2.73%"
"2022- 01- 26","73,300","73,900","74,400","73,200","3.67K","-0.95%"
"2022- 01- 25","74,000","74,800","75,000","73,200","17.53M","-1.46%"
"2022- 01- 24","75,100","75,400","75,800","74,700","13.66M","-0.66%"
"2022- 01- 23","75,600","75,600","75,600","75,600","","0.00%"
"2022- 01- 21","75,600","75,800","75,800","74,700","15.74M","-1.18%"
"2022- 01- 20","76,500","76,200","76,600","76,000","12.67K","0.26%"
"2022- 01- 19","76,300","76,500","76,900","76,100","4.48K","-0.91%"
"2022- 01- 18","77,000","77,500","77,800","76,600","0.17K","-0.65%"
"2022- 01- 17","77,500","77,600","77,800","76,900","8.75M","0.26%"
"2022- 01- 16","77,300","77,300","77,300","77,300","","0.00%"
"2022- 01- 14","77,300","77,700","78,100","77,100","9.92M","-0.77%"
"2022- 01- 13","77,900","79,300","79,300","77,900","7.69K","-1.27%"
"2022- 01- 12","78,900","79,500","79,600","78,600","10.92M","0.00%"
"2022- 01- 11","78,900","78,300","79,000","78,000","0.70K","1.15%"
"2022- 01- 10","78,000","78,100","78,100","77,100","9.63M","-0.38%"
"2022- 01- 09","78,300","78,300","78,300","78,300","","0.00%"
"2022- 01- 07","78,300","78,100","78,400","77,400","15.10M","1.82%"
"2022- 01- 06","76,900","76,700","77,600","76,700","8.25K","-0.65%"
"2022- 01- 05","77,400","78,800","79,000","76,400","1.59K","-1.65%"
"2022- 01- 04","78,700","78,800","79,200","78,300","3.28K","0.13%"
"2022- 01- 03","78,600","79,400","79,800","78,200","13.35M","0.38%"
"2021- 12- 30","78,300","78,900","79,500","78,100","13.92M","-0.63%"
"2021- 12- 29","78,800","80,100","80,100","78,500","21.44K","-1.87%"
"2021- 12- 28","80,300","80,200","80,400","79,700","16.31K","0.12%"
"2021- 12- 27","80,200","80,600","80,600","79,900","0.58K","-0.37%"
"2021- 12- 26","80,500","80,500","80,500","80,500","","0.00%"
"2021- 12- 24","80,500","80,200","80,800","80,200","12.02M","0.75%"
"2021- 12- 23","79,900","79,800","80,000","79,300","0.26K","0.63%"
"2021- 12- 22","79,400","78,800","79,400","78,800","1.69K","1.66%"
"2021- 12- 21","78,100","77,900","78,300","77,500","0.07K","1.30%"
"2021- 12- 20","77,100","77,500","77,700","76,800","10.91K","-1.15%"
"2021- 12- 19","78,000","78,000","78,000","78,000","","0.00%"
"2021- 12- 17","78,000","76,800","78,000","76,800","11.80M","0.26%"
"2021- 12- 16","77,800","78,300","78,400","77,400","1.76K","0.26%"
"2021- 12- 15","77,600","76,400","77,600","76,400","0.22K","0.78%"
"2021- 12- 14","77,000","76,500","77,200","76,200","0.31K","0.26%"
"2021- 12- 13","76,800","77,100","78,300","76,500","1.73K","-0.13%"
"2021- 12- 12","76,900","76,900","76,900","76,900","","0.00%"
"2021- 12- 10","76,900","77,400","77,600","76,800","9.09M","-1.66%"
"2021- 12- 09","78,200","77,300","78,200","77,000","0.62K","1.03%"
"2021- 12- 08","77,400","78,100","78,600","77,100","4.96K","0.00%"
"2021- 12- 07","77,400","76,100","77,600","75,600","0.19K","1.44%"
"2021- 12- 06","76,300","75,100","76,700","75,000","0.38K","0.93%"
"2021- 12- 05","75,600","75,600","75,600","75,600","","0.00%"
"2021- 12- 03","75,600","75,600","76,000","74,100","17.62M","-0.26%"
"2021- 12- 02","75,800","73,900","75,800","73,800","27.76K","1.88%"
"2021- 12- 01","74,400","72,000","74,700","71,600","1.37K","4.35%"
"2021- 11- 30","71,300","73,200","73,900","70,500","17.28K","-1.38%"
"2021- 11- 29","72,300","71,700","73,000","71,600","0.40K","0.00%"
"2021- 11- 28","72,300","72,300","72,300","72,300","","0.00%"
"2021- 11- 26","72,300","73,500","74,100","72,000","12.66M","-1.90%"
"2021- 11- 25","73,700","75,100","75,100","73,600","2.22K","-1.47%"
"2021- 11- 24","74,800","75,800","76,200","74,100","0.49K","-0.66%"
"2021- 11- 23","75,300","75,700","75,900","74,500","2.61K","0.53%"
"2021- 11- 22","74,900","73,100","75,100","73,000","51.35K","5.20%"
"2021- 11- 21","71,200","71,200","71,200","71,200","","0.00%"
"2021- 11- 19","71,200","70,400","71,400","70,100","11.91M","1.42%"
"2021- 11- 18","70,200","70,700","71,000","70,200","1.35K","-0.71%"
"2021- 11- 17","70,700","71,300","71,600","70,600","10.89M","-0.84%"
"2021- 11- 16","71,300","71,500","72,000","71,300","0.31K","-0.14%"
"2021- 11- 15","71,400","71,700","71,900","70,900","4.87K","1.13%"
"2021- 11- 14","70,600","70,600","70,600","70,600","","0.00%"
"2021- 11- 12","70,600","70,200","70,900","69,900","10.04M","1.00%"
"2021- 11- 11","69,900","69,900","70,000","69,600","11.44M","-0.43%"
"2021- 11- 10","70,200","70,300","70,900","70,200","0.98K","-0.43%"
"2021- 11- 09","70,500","70,400","70,900","70,100","4.89K","-0.14%"
"2021- 11- 08","70,600","70,300","70,600","69,800","0.59K","0.57%"
"2021- 11- 07","70,200","70,200","70,200","70,200","","0.00%"
"2021- 11- 05","70,200","71,600","71,600","70,200","12.61M","-0.57%"
"2021- 11- 04","70,600","71,100","71,600","70,500","1.57K","0.28%"
"2021- 11- 03","70,400","71,700","71,700","70,100","0.21K","-1.54%"
"2021- 11- 02","71,500","70,700","72,200","70,700","4.70K","2.29%"
"2021- 11- 01","69,900","70,200","70,600","69,900","0.07K","0.14%"
"2021- 10- 31","69,800","69,800","69,800","69,800","","0.00%"
"2021- 10- 29","69,800","71,200","71,600","69,700","16.50M","-1.27%"
"2021- 10- 28","70,700","69,600","72,100","69,500","2.15K","0.86%"
"2021- 10- 27","70,100","71,000","71,000","70,000","3.67K","-1.41%"
"2021- 10- 26","71,100","70,500","71,500","70,400","8.81K","1.28%"
